candidate_name,race,website,phone,total,grassroots,instate,committee_name,filer_id
Mary Walston,"Director Eugene School District, Position 7",,(541)741-0600x123,522.89,0.420528218172082,0.808755187515539,Elect Mary Walston,14904
Robert Lee,"Director Reynolds School District, Position 1",,(800)952-9566x241,25,1,0,Friends of Robert Lee,14954
Ginny Burdick,State Senator 18th District,"",(503)244-1444,29132.24,0.0353491526913138,0.755260838164178,Friends of Ginny Burdick,5434
Dave Hunt,"County Commissioner Clackamas County, Position 1, Chair",www.electdavehunt.com,(503)650-9434,111.79,1,0.767063243581716,Friends of Dave Hunt,4247
Nathan Hovekamp,State Representative 54th District,"",,1927.75,0.0695110880560239,0.930488911943976,Friends of Nathan R. Hovekamp,12527
Katie Eyre,State Representative 29th District,www.repeyrebrewer.com,,8200,0.024390243902439,1,Friends of Katie Eyre ,14349
Fred Warner,County Judge Baker County,,(541)519-6704,10860.14,0.247247273055412,0.450911314218785,Win With Warner,14562
Bruce Starr,State Senator 15th District,www.brucestarr.org,(503)310-7500,113382.91,0.0166066473333591,0.733910516143923,Bruce Starr for State Senate Committee,2752
Jackie Dingfelder,State Senator 23rd District,"",(503)810-3972,2520,0.00793650793650794,0.992063492063492,Friends of Jackie Dingfelder,4090
LeeAnn Larsen,"Director Beaverton School District, Zone 5",,(503)572-6763,1854.6,0,1,LeeAnn Larsen for School Board,13714
Richard Devlin,State Senator 19th District,"",(503)986-1719,111576.58,0.00979578330864775,0.890041709469855,Friends of Richard Devlin,1670
Tim Freeman,"County Commissioner Douglas County, Position 2","",(541)580-7545,75399,0.0580113794612661,0.84669557951697,Friends of Tim Freeman,11927
Tim Freeman,"County Commissioner Douglas County, Position 2","",(541)580-7545,75399,0.0580113794612661,0.84669557951697,Friends of Tim Freeman,11927
Tim Freeman,"County Commissioner Douglas County, Position 2","",(541)580-7545,75399,0.0580113794612661,0.84669557951697,Friends of Tim Freeman,11927
Jodie Barram,"City Councilor City of Bend, Position 6",,(541)408-5099,1000,0,1,Jodie Barram for Bend City Council,13062
Shemia Fagan,State Representative 51st District,www.shemiafagan.com,(503)226-8481,51660.87,0.0217611511381825,0.938886433774731,Committee to Elect Shemia Fagan,14993
Lee Beyer,State Senator 6th District,"",(541)914-9104,54851.1,0.0054693524833595,0.765729401962768,Friends of Lee Beyer,14049
Richard Cunningham,"Director Lane Community College, Zone 1",,(541)232-7967,4643,0.0307990523368512,0.969200947663149,Friends of Rich Cunningham,14006
Jason Freilinger,"City Councilor City of Silverton, At Large",,(503)874-4431,5,1,1,Friends of Jason Freilinger,14058
Janet Carlson,"County Commissioner Marion County, Position 2",,(503)588-5212x5300,20265,0.124105600789539,0.870959782876881,Friends of Janet Carlson,6425
Tom Hughes,Metro Council President At Large,,(503)802-5723,108470,0.0244307181709228,0.893057988383885,Friends of Tom Hughes,14060
PAUL HOLVEY,State Representative 8th District,,(541)344-5636,17918.5,0.0525708067081508,0.743476853531267,Paul Holvey for State Representative,4788
Charles Lee,State Representative 25th District,"",(503)584-4594,9544.69,0.0128867464527397,1,Chuck Lee Campaign Committee,5328
Nicholas Fish,"City Commissioner City of Portland, Position 2",,(503)823-3581,105723.73,0.0764892612093803,0.913495011952378,Nick Fish for City Council,5709
Chris Garrett,Judge of the Court of Appeals Position 1,,,28448.19,0.000351516212454993,0.797526661625924,Friends of Chris Garrett,12511
